"기준_년분기_코드","서울시_코드","서울시_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20201","11","서울시","2511744271","1186278125","1325466137","368724923","396526450","413048941","398537873","363495556","571410516","645191075","520019245","305850255","304913444","416140396","319629854","359754872","361121555","360628567","360355296","358719579","355118168","356046245"
"20194","11","서울시","2497952732","1175731849","1322220891","366078173","399383164","408763832","393651707","359761176","570314685","645646577","515919858","301918641","301430477","413609032","319428141","357842486","357865798","357949340","357217584","356959146","355361698","354756698"
"20193","11","서울시","2418836734","1139098515","1279738219","352094350","386241286","395881640","380309519","348137928","556172018","625989026","499555485","292438797","291971036","399604608","309277777","347828168","349597894","349937923","345715466","343238098","340648120","341871076"
"20192","11","서울시","2427614896","1137774474","1289840424","356448202","385599771","394219244","379562343","348028937","563756406","630759627","501609401","292024727","291345243","400815268","311060636","346836547","347717729","349252714","348772579","348651655","343478491","342905199"
"20191","11","서울시","2514146799","1187257123","1326889675","364500404","395000389","403271455","390968958","364727987","595677608","648780097","519749107","304874301","304275909","415912206","320555180","357849646","357786946","359540135","360959431","360881793","359282152","357846700"
"20222","11","서울시","2400000877","1132790913","1267209960","357890689","383690113","400316792","388225017","349193833","520684435","620183237","495259270","289649071","289664346","398373468","306871487","345232200","345589718","344183173","343358748","342975303","338721601","339940149"
"20232","11","서울시","2342068806","1103560006","1238508801","348002334","379530710","392170390","381465001","341780101","499120268","604426711","483289428","282878489","283120434","388909189","299444546","335391384","336329028","336831311","336488562","335290954","330802382","330935184"
"20233","11","서울시","2322696229","1095415950","1227280277","342951524","370520020","388478887","379735790","341298914","499711090","597912313","479568342","281846403","281984837","385294104","296090236","335017794","334260007","333964206","331677546","329906425","326481796","331388459"
"20234","11","서울시","2350495089","1108035901","1242459183","347529399","377014110","391701687","385090123","346138375","503021399","606157767","485957988","284690038","284609554","389876941","299202796","335893785","336512753","336996705","337171773","336658930","334388280","332872873"
"20241","11","서울시","2357340724","1112995174","1244345549","348030350","371822659","392877470","387536853","348691015","508382377","605631588","488970534","287064019","286610841","390659800","298403945","337315311","338776025","339321495","338516391","335698245","333258682","334454586"
"20242","11","서울시","2316314117","1088879295","1227434818","343791846","374201381","386727470","380054006","339477301","492062119","597221223","478637712","280254393","280503504","384196929","295500350","332228320","332841865","332430765","331825952","331572931","327545405","327868872"
"20243","11","서울시","2291618077","1079631880","1211986203","337616853","363384939","381992908","377452430","339123051","492047897","588738557","473888579","278705209","278963391","379826800","291495550","326979250","327419347","329469367","329829353","329334074","324631896","323954801"
